ячейка, grid cell
Слово: Track, столбец или строка
Слово: область, grid area
Слово: разрыв, gap

'Определить контейнер, как блок', display: grid; 
'Определить контейнер, как вложенная сетка', display: subgrid;
Определить колонки, grid-template-columns
Определить строки, grid-template-rows
Определить шаблон сетки по именам областей, grid-template-areas
Определить имя области у элемента, grid-area

Задать ширину линий, grid-gap

Авторазмещение элементов, grid-auto-flow

Единица изменения: фракция, fr
Функция повторения шаблона, repeat()
Символ - пустая ячейка,.
