"Создать папку folder","mkdir folder"
"Создать две папки js и images","mkdir js images"
"Удалить папку folder","rmdir folder"
"Скопировать file.txt в file2.txt","cp file.txt file2.txt"
"Скопировать file.txt в folder/file2.txt","cp file.txt folder/file2.txt"
"Переместить файл file.txt в папку folder","mv file.txt folder"
"Переместить файл file.txt из папки folder в текущую директорию","mv folder/file.txt ."
"Подстановочный символ: любой количество любых символов","*"
"Подстановочный символ: один любой символ знаков","?"
"Переместить все файлы из папки folder в текущую директорию","mv folder/* ."
"Переместить все текстовые файлы из текущей директории в папку folder","mv *.txt folder"
"Удалить одной командой файлы file1.txt, file2.txt используя ?","rm file?.txt"
"Вывести содержимое файла file.txt в консоль","cat file.txt"
"Вывести содержимое файла file.txt в консоль с нумерацией строк","cat -n file.txt"
"Оператор перенаправления вывода",">"
"Создать пустой файл file.txt с помощью оператора перенаправления вывода","> file.txt"
"Команда создания пустых файлов","touch"
"Создать пустые файлы: index.php header.php footer.php","touch index.php header.php footer.php"
"Создать 10 пустых файлов: file-1.txt - file-10.txt","touch file-{1..10}.txt"}
