"Предложение","Сочетание слов или отдельное слово, выражающее законченную мысль, называется предложением."
"Вопросительное предложение","Вопросительным предложением называется такое предложение, в котором содержится вопрос."
"Восклицательное предложение","Восклицательным предложением называется такое предложение, в котором мысль сопровождается каким-нибудь сильным чувством (удивления, восторга, восхищения и т.п.)"
"Повествовательное предложение","Предложение, в котором сообщается о чём-нибудь и не содержится ни вопроса, ни восклицания, называется повествовательным."
"Текст","это высказывание состоящее из нескольких предложений."
"Тема текста","это то, о чем говорится в тексте."
"Главная мысль текста","это то главное, о чём хотел сказать читателю автор."
"Члены предложения","Те слова в предложении, которые отвечают на какой-нибудь вопрос, называются членами предложения."
"Главные члены предложения","Подлежащее и сказуемое"
"Второстепенные члены предложения","Второстепенные члены предложения поясняют сказуемое, подлежащее или один из второстепенных членов."
"Подлежащее","Подлежащее обозначает то, о чём что-либо говорится в предложении, и отвечает на вопросы кто? что?"
"Сказуемое","Сказуемое обозначает то, что говорится о подлежащем, и отвечает на один из вопросов: что делает предмет? что с ним делается? каков он? что он такое? кто он такой?"
"Нераспространённое предложение","Предложение, которое состоит только из подлежащего и сказуемого, называется простым нераспространённым."
"Распространённое предложение","Предложение, в котором, кроме подлежащего и сказуемого, имеются ещё второстепенные члены, называется простым распространённым."
"Синоним","Синонимами называются те слова, которые произносятся по-разному, а по смыслу одинаковые или очень близки."
"Антоним","Слова противоположные по значению называются антонимами."
"Ударение","Произнесение одного из слогов слова с большей силой называется ударением."
