"Вставка перед курсором","i"
"Вставка после курсора","a"
"Новая строка ниже","o"
"Новая строка выше","O"
"Вставка в начало строки","I"
"Вставка в конец строки","A"
"Удалить символ и перейти в режим вставки","s"
"Удалить строку и перейти в режим вставки","S"
"Изменить и перейти в режим вставки","c"
"Изменить до конца строки","C"
"Изменить всю строку","cc"
"Вставка в последнее место ввода","gi"
"Backspace","<C-h>"
"Стереть слово слева","<C-w>"
"Стереть всё","<C-u>"
"Отключить автоотступы",":set paste"
"Включить автоотступы",":set nopaste"
