"Показать содержимое всех регистров",":reg"
"Показать содержимое регистра 1 и a",":reg 1a"
"Регистр захвата"," ""0"
"Регистр системного буфера"," ""*"
"Регистр поиска"," ""/"
"Регистр выражений"," ""="
"Регистр чёрной дыры"," ""_"
"Вставить в командном режиме"," ""{register}p"
"Ссылка на регистр","\=@{register}"
"Вставить из регистра в новую строку ниже. Ex",":put {register}"
"Скопировать в регистр"," ""{register}y{motion}"
"Скопировать выделенное в регистр"," ""{register}y"
"Регистр с именем файла"," ""%"
"Вставить в режиме вставки","<C-r>{register}"
