":set spell","Включить проверку орфографии (Ex: режим)"
"]s","К следующей ошибке (командный режим)"
"[s","К предыдущей ошибке (командный режим)"
"z=","Показать варианты исправления ошибки (командный режим)"
"1z=","Исправить ошибку первым вариантом (командный режим)"
"<C-x>s или <C-x><C-s>","Показать варианты исправлений (режим вставки)"
"<C-n>","Вниз - в выпадающем списке (режим вставки)"
"<C-p>","Вверх - в выпадающем списке (режим вставки)"
"Esc или <C-[>","Закрыть выпадающий список (режим вставки)"
"zg","Добавить текущее слово в словарь (командный режим)"
"zug","Отменить команду zg (командный режим)"
"zw","Удалить слово из словаря (командный режим)"
"zuw","Отменить команду zw (командный режим)"
":set spelllang=ru","Задать язык проверки (Настройки)"
"~/.vim/spell/ru.utf-8.spl","Словарь по умолчанию (Настройки)"
":set spellfile=~/.vim/spell/ru.utf-8.add","Задать 1-й отдельный словарь для добавления/удаления слов zg zw (Настройки)"
":set spellfile+=terms.utf-8.add","Задать 2-й отдельный словарь для терминов в папке с проектом (Настройки)"
"2zg","Добавить слово во 2-й словарь терминов (командный режим)"
"http://ftp.vim.org/vim/runtime/spell/","Ссылка на словари"
":set nospell","Отключить проверку орфографии (Настройки)"
