"Содержимое в ""двойных кавычках"" с кавычками","a"""
"Содержимое в 'одинарных кавычках' с кавычками","a'"
"Содержимое в скобках () со скобками","a( или a)"
"Содержимое в <угловых скобках> со скобками","a< или a>"
"СЛОВО с пробелом","aW"
"Содержимое в [квадратных скобках] со скобками","a[ или a]"
"Содержимое в `обратных кавычках` с кавычками","a`"
"Параграф с пустой строкой ниже","ap"
"Предложение с пробелом после точки","as"
"Содержимое тега с самим тегом","at"
"Слово с пробелом","aw"
"Содержимое в {фигурных скобках} со скобками","a{ или a}"
"Содержимое в ""двойных кавычках"" ","i"""
"Содержимое в 'одинарных кавычках' ","i'"
"Содержимое в (скобках)","i( или i)"
"Содержимое в <угловых скобках>","i< или i>"
"СЛОВО","iW"
"Содержимое в [квадратных скобках]","i[ или i]"
"Содержимое в `обратных кавычках`","i`"
"Параграф","ip"
"Предложение","is"
"Содержимое тега","it"
"Слово","iw"
"Содержимое в {фигурных скобках}","i{ или i}"
